asset_id,repository,relative_path,asset_type,target,source_round,qualification_status,evidence_level,current_role,superseded_by,hash,bytes,file_count,path_status,notes
AIDD-FASN-RAW-001,aidd,00-当前研究/final_strategy_round_20260912/raw/FASN_all_activity_records.json,raw_activity,FASN,最终战略冻结轮,VERIFIED,high,原始响应保留,,0dc63f21136d9b81d2c599de02608c400cf6501b762b3f01dc54334f0fd0dac0,13669382,1,EXISTS,ChEMBL 全量原始快照；不把派生聚合标签倒写回原始层
AIDD-FASN-MASTER-001,aidd,00-当前研究/final_strategy_round_20260912/FASN_activity_master.csv,master_table,FASN,最终战略冻结轮,VERIFIED,high,当前 assay-aware 数据入口,,51189faf67b274dd27ba42d99a4ff7a66d8795f2c75598cdc622218455737fe7,2327988,1,EXISTS,1652 条/51 assay；记录级 provenance 完整
AIDD-FASN-AWARE-001,aidd,00-当前研究/advancement_round_20260913/FASN_assay_aware_master.csv,assay_aware_table,FASN,推进轮,VERIFIED,high,Gate T1 的输入候选,,7811cb850af66be47e4db91ac1f589d05f0762de9c0583c8a2ab5c04e44b4157,2596044,1,EXISTS,新增 assay family/检测体系字段；unknown 不猜测
AIDD-FASN-CANON-001,aidd,00-当前研究/qualification_round_20260913/FASN_canonical_clean.csv,qualified_dataset,FASN,资格验证轮,VERIFIED,high,当前 canonical 模型数据,,cca2817fed8c12d8bfd9a6223780f26332dbe44453e901c84c480c93fb658608,22067,1,EXISTS,96 分子/39 scaffold；仅限 CHEMBL5731051
AIDD-FASN-EXT-001,aidd,00-当前研究/qualification_round_20260913/FASN_external_set.csv,external_dataset,FASN,资格验证轮,VERIFIED,high,独立外部验证输入,,06b513acab30a4d3b50e36df92323a9e09c352c97ccece70a0ab315bf01d92f6,21384,1,EXISTS,105 分子/3 文献 assay；与训练不重叠
AIDD-FASN-OLD-SPLIT-001,aidd,00-当前研究/validation/20260905/FASN_diagnostic_split.csv,historical_split,FASN,诊断轮,HISTORICAL,medium,历史 split/错误分析参考,00-当前研究/qualification_round_20260913/FASN_canonical_clean.csv,ec5d4ecb1f1d31c11b5109208afe0a48bab64f6fa3f7f3962ab962a4afabb24e,108737,1,EXISTS,旧 split 不能支持当前泛化主张；原文件和 hash 保留
AIDD-FASN-OLD-PRED-001,aidd,03-课题-MASH研究-v2/results/tables/FASN_cluster_split_testpred.csv,historical_predictions,FASN,MASH v2,HISTORICAL,low,历史方法对照/复盘,00-当前研究/qualification_round_20260913/derived/GNN_benchmark_10seed_results.csv,6dfa200c42c52d5b24afa5da23abc3b2d84c2b070e3992121e0a8fdb3ef31b96,3725,1,EXISTS,旧聚类 split 预测可读；不作为当前 external/scaffold 证据
AIDD-FASN-BENCH-001,aidd,00-当前研究/qualification_round_20260913/FASN_10seed_scaffold_results.csv,benchmark_results,FASN,资格验证轮,VERIFIED,high,canonical baseline 证据,,b33a30e55e1253fb01330c90b70502dec099956c650d8c4be8f0bf8630caaa2a,3572,1,EXISTS,Ridge/RF/XGB/mean；10 seed scaffold
AIDD-FASN-GNN-001,aidd,00-当前研究/qualification_v1/derived/GNN_benchmark_summary.csv,benchmark_results,FASN/GNN,qualification_v1,VERIFIED,high,GNN enable gate 阴性证据,,1e6c8ff42a59ba57d9763d6793fcfb604b6bbd3a330c00dbc5c5ebf092cdf705,1029,1,EXISTS,同折 GCN/GINE 未优于 Ridge/XGB；只限当前数据规模
AIDD-FASN-Y-001,aidd,00-当前研究/qualification_round_20260913/FASN_y_scrambling_results.csv,permutation_results,FASN,资格验证轮,VERIFIED,high,非伪学习证据,,7c7722ff2e2378f3fbb0eed0213eabdb4b23df3ca70530934142ff8511135cd5,5687,1,EXISTS,0/20 exceeded 经典 baseline
