record_id,candidate,manual_identity_status,availability,solubility_aggregation_risk,risk_level,decision_use,note
NP54-001,scoparone,pending_manual_source_review,未核查具体供应商/批次/纯度（不采购）,未知：需实测溶解度、细胞耐受、检测干扰和准确可购形式,未知,不进入最终短名单，除非新证据改变,理化/PAINS仅作预警，不作药效或安全结论
NP54-002,scopoletin,pending_manual_source_review,未核查具体供应商/批次/纯度（不采购）,未知：需实测溶解度、细胞耐受、检测干扰和准确可购形式,未知,不进入最终短名单，除非新证据改变,理化/PAINS仅作预警，不作药效或安全结论
NP54-003,umbelliferone,pending_manual_source_review,未核查具体供应商/批次/纯度（不采购）,未知：需实测溶解度、细胞耐受、检测干扰和准确可购形式,未知,不进入最终短名单，除非新证据改变,理化/PAINS仅作预警，不作药效或安全结论
NP54-004,capillarisin,pending_manual_source_review,未核查具体供应商/批次/纯度（不采购）,未知：需实测溶解度、细胞耐受、检测干扰和准确可购形式,未知,不进入最终短名单，除非新证据改变,理化/PAINS仅作预警，不作药效或安全结论
NP54-005,arcapillin,pending_manual_source_review,未核查具体供应商/批次/纯度（不采购）,未知：需实测溶解度、细胞耐受、检测干扰和准确可购形式,未知,不进入最终短名单，除非新证据改变,理化/PAINS仅作预警，不作药效或安全结论
NP54-006,capillin,pending_manual_source_review,未核查具体供应商/批次/纯度（不采购）,未知：需实测溶解度、细胞耐受、检测干扰和准确可购形式,未知,不进入最终短名单，除非新证据改变,理化/PAINS仅作预警，不作药效或安全结论
NP54-007,capillene,pending_manual_source_review,未核查具体供应商/批次/纯度（不采购）,未知：需实测溶解度、细胞耐受、检测干扰和准确可购形式,未知,不进入最终短名单，除非新证据改变,理化/PAINS仅作预警，不作药效或安全结论
NP54-008,"1,2-dimethoxy-4-vinylbenzene",pending_manual_source_review,未核查具体供应商/批次/纯度（不采购）,未知：需实测溶解度、细胞耐受、检测干扰和准确可购形式,未知,不进入最终短名单，除非新证据改变,理化/PAINS仅作预警，不作药效或安全结论
NP54-009,isorhamnetin,pending_manual_source_review,未核查具体供应商/批次/纯度（不采购）,多酚聚集/荧光素酶或氧化还原检测干扰；溶解度和真实肝暴露未知,中高,先做聚集/干扰、溶解度和PA/OA表型/FXR依赖性,理化/PAINS仅作预警，不作药效或安全结论
NP54-010,vitexin,pending_manual_source_review,未核查具体供应商/批次/纯度（不采购）,未知：需实测溶解度、细胞耐受、检测干扰和准确可购形式,未知,不进入最终短名单，除非新证据改变,理化/PAINS仅作预警，不作药效或安全结论
NP54-011,isovitexin,pending_manual_source_review,未核查具体供应商/批次/纯度（不采购）,未知：需实测溶解度、细胞耐受、检测干扰和准确可购形式,未知,不进入最终短名单，除非新证据改变,理化/PAINS仅作预警，不作药效或安全结论
NP54-012,hyperoside,pending_manual_source_review,未核查具体供应商/批次/纯度（不采购）,未知：需实测溶解度、细胞耐受、检测干扰和准确可购形式,未知,不进入最终短名单，除非新证据改变,理化/PAINS仅作预警，不作药效或安全结论
NP54-013,isoquercitrin,pending_manual_source_review,未核查具体供应商/批次/纯度（不采购）,未知：需实测溶解度、细胞耐受、检测干扰和准确可购形式,未知,不进入最终短名单，除非新证据改变,理化/PAINS仅作预警，不作药效或安全结论
NP54-014,epicatechin,pending_manual_source_review,未核查具体供应商/批次/纯度（不采购）,未知：需实测溶解度、细胞耐受、检测干扰和准确可购形式,未知,不进入最终短名单，除非新证据改变,理化/PAINS仅作预警，不作药效或安全结论
