asset_id,资产,仓库,路径,来源轮次,分类,理由,处置
A01,FASN 全量活性主表(1652条/51 assay/记录级 lineage),aidd,00-当前研究/final_strategy_round_20260912/FASN_activity_master.csv,最终战略冻结轮,VERIFIED,provenance 完整(assay/document/DOI/PMID/物种/转换方法)；本轮 provenance 审计 PASS(0 缺失),冻结保留；Gate T1 的数据源
A02,FASN canonical 清洗集(96分子/39骨架),aidd,00-当前研究/qualification_round_20260913/FASN_canonical_clean.csv,资格验证轮,VERIFIED,QC 0异常(重复/立体对/盐/不可能值)；本轮复用为唯一训练数据,冻结；GNN benchmark 输入
A03,10-seed scaffold 基线结果(Ridge/RF/XGB/均值),aidd,00-当前研究/qualification_round_20260913/FASN_10seed_scaffold_results.csv,资格验证轮,VERIFIED,种子20260912-20260921全留痕；Ridge R²中位0.732,冻结保留；GNN benchmark 的对照数字直接引用
A04,Y-scrambling ×20 结果,aidd,00-当前研究/qualification_round_20260913/FASN_y_scrambling_results.csv,资格验证轮,VERIFIED,0/20 exceeded(+1校正p=0.0476),冻结保留
A05,泄漏审计(10 seed),aidd,00-当前研究/qualification_round_20260913/FASN_leakage_audit.csv,资格验证轮,VERIFIED,无结构重复/骨架共享/复制跨集,冻结保留
A06,外部验证集(105分子/3 assay)+结果,aidd,00-当前研究/qualification_round_20260913/FASN_external_set.csv,资格验证轮,VERIFIED,排除镜像assay+重叠分子；阴性结果(R²0.180/分assay全负)同样冻结,阴性结果保留；禁止为翻盘改split
A07,AD/UQ 报告(阈值0.812/conformal),aidd,00-当前研究/qualification_round_20260913/FASN_AD_UQ_report.md,资格验证轮,VERIFIED,AD正确隔离外部91/105与NP54 54/54,冻结保留
A08,FASN GO/NOGO 判定文档,aidd,00-当前研究/qualification_round_20260913/FASN_GO_NOGO.md,资格验证轮,VERIFIED,CONDITIONAL GO+两条件精确化,冻结保留；本轮引用不修改
A09,外部验证分层(E1/E2/ADin/OOD)+A2失败分解,aidd,00-当前研究/advancement_round_20260913/FASN_external_stratified_results.csv,推进轮,VERIFIED,E1_ADin rho=0.880(n=14)三重限定在案,冻结保留；引用必须带n=14/偏移未校正/需T1复验
A10,FASN assay 效价校准结果,aidd,00-当前研究/advancement_round_20260913/FASN_assay_calibration_results.csv,推进轮,VERIFIED,小标签校准(10seeds)rho 0.487→0.689/0.691；pooled R²≤0.267不敌cal_mean 0.272,冻结保留(效价不可迁移的证据)
A11,NP 桥接数据审计 v2,aidd,00-当前研究/advancement_round_20260913/FASN_natural_product_bridge_v2.csv,推进轮,VERIFIED,人源+逐化合物可用点≈0-5→域适应不做,冻结保留(阴性决策证据)
A12,NP54 域状态 v2,aidd,00-当前研究/advancement_round_20260913/NP54_domain_status_v2.csv,推进轮,VERIFIED,0/54域内(中位0.136),冻结保留
