record_id,分子,来源药材,PubMed疾病检索命中数,PubMed机制检索命中数,疾病模型证据,疾病证据层级,直接靶点与功能证据,靶点证据层级,暴露与可开发性,计算支持,研究增量,保留或降级理由,证据状态,主要缺口
NP54-001,scoparone,scoparone,16,14,MCD-NASH小鼠治疗4周；PA-AML12脂毒性与LPS-RAW264.7炎症模型。摘要报告脂变/炎症/自噬改善；另一摘要明确H&E/Oil Red O/Masson及纤维化、炎症和凋亡改善（PMID 32000066、31421545）。HFD-MASLD研究为摘要，未见明确纤维化终点（41933743）。,摘要级；OA全文入口可用性不稳定,ROS/P38/Nrf2、PI3K/AKT/mTOR和TLR4/NF-κB通路/自噬干预；未确认scoparone与上述蛋白的物理结合。41933743中“直接结合”是miR-3073a-3p–Camkk2 mRNA 3′UTR双荧光素酶，不是蛋白结合。,全文/摘要分层（详见tierA_fulltext_review_v2.md）,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,优先验证本体身份/可测性、肝细胞脂毒性和巨噬细胞炎症；机制先做自噬流/TLR4因果，不做直接靶点宣称。,A-tier复核保留，仍不等于实验放行,A-tier证据升级（全文/摘要分开）,来源/部位/纯度/PK未人工闭环；直接结合/暴露与实验可重复性待核
NP54-002,scopoletin,scopoletin,11,23,本轮精确PubMed检索命中11条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中23条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-003,umbelliferone,umbelliferone,12,29,本轮精确PubMed检索命中12条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中29条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-004,capillarisin,capillarisin,1,4,本轮精确PubMed检索命中1条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中4条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-005,arcapillin,arcapillin,0,0,本轮精确PubMed检索命中0条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中0条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-006,capillin,capillin,2,1,本轮精确PubMed检索命中2条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中1条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-007,capillene,capillene,0,0,本轮精确PubMed检索命中0条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中0条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-008,"1,2-dimethoxy-4-vinylbenzene",1_2-dimethoxy-4-vinylbenzene,0,0,本轮精确PubMed检索命中0条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中0条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-009,isorhamnetin,isorhamnetin,43,64,NASH小鼠口服50 mg/kg：脂质/TG、肝损伤、胶原沉积和纤维化标志改善（PMID 31700054，摘要）；HFD-MASLD小鼠剂量依赖改善，FXR/胆汁酸/菌群轴与体外/MD支持（PMID 41763136，摘要）,摘要/条件有限,FXR方向：41763136报告MD与体外实验支持interaction/signaling，但本轮未确认纯化受体KD；直接结合层级未知；多酚检测干扰/聚集待排除,摘要/条件有限,NASH研究有口服50 mg/kg动物剂量；未建立本库化学形式的PK、肝暴露、溶解度和检测干扰,"TRβ WT 3GWS派生受体，4种子中位=-8.244，范围=[-8.246,-8.234]；仅描述性重复性，不是活性预测",见候选比较文档；未知不等于阴性,保留：疾病证据优先候选；机制需正交验证,已核查分层,来源/部位/纯度/PK未人工闭环；聚集/检测干扰需排查
NP54-010,vitexin,vitexin,8,48,本轮精确PubMed检索命中8条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中48条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
