record_id,candidate,reason,disease_query_hits,mechanism_query_hits,status
NP54-001,scoparone,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,16,14,excluded_or_deferred_not_proven_inactive
NP54-002,scopoletin,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,11,23,excluded_or_deferred_not_proven_inactive
NP54-003,umbelliferone,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,12,29,excluded_or_deferred_not_proven_inactive
NP54-004,capillarisin,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,1,4,excluded_or_deferred_not_proven_inactive
NP54-005,arcapillin,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,0,0,excluded_or_deferred_not_proven_inactive
NP54-006,capillin,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,2,1,excluded_or_deferred_not_proven_inactive
NP54-007,capillene,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,0,0,excluded_or_deferred_not_proven_inactive
NP54-008,"1,2-dimethoxy-4-vinylbenzene",未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,0,0,excluded_or_deferred_not_proven_inactive
NP54-010,vitexin,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,8,48,excluded_or_deferred_not_proven_inactive
NP54-011,isovitexin,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,2,20,excluded_or_deferred_not_proven_inactive
NP54-012,hyperoside,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,16,60,excluded_or_deferred_not_proven_inactive
NP54-013,isoquercitrin,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,19,53,excluded_or_deferred_not_proven_inactive
NP54-014,epicatechin,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,52,241,excluded_or_deferred_not_proven_inactive
NP54-015,procyanidin B2,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,10,25,excluded_or_deferred_not_proven_inactive
NP54-016,ursolic acid,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,52,91,excluded_or_deferred_not_proven_inactive
NP54-017,oleanolic acid,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,42,102,excluded_or_deferred_not_proven_inactive
NP54-018,corosolic acid,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,8,16,excluded_or_deferred_not_proven_inactive
NP54-019,maslinic acid,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,7,12,excluded_or_deferred_not_proven_inactive
NP54-020,tormentic acid,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,6,4,excluded_or_deferred_not_proven_inactive
NP54-021,alisol A,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,8,4,excluded_or_deferred_not_proven_inactive
NP54-022,alisol B,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,18,16,excluded_or_deferred_not_proven_inactive
NP54-023,alisol C,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,0,2,excluded_or_deferred_not_proven_inactive
