序号,物料,供应商,货号/复核方式,规格,单价(元),价格状态,库存,采购阶段,方案档位,用途,备注/替代
1,Moracin N,GlpBio,GC71917,1 mg,520,"快照($72, 直连403)",In-stock(快照),Gate1 前,标准/扩展,主候选,下单前邮件确认价格运费；备选 MCE HY-N11849 ¥2320/mg
2,Moracin N 免费试用装,MCE 中国站,HY-N11849,10 mM×25 μL,0,试用装政策,需申请,Gate1 前,最低,主候选,77.6 μg 够 Gate1；机构一年 3 个名额
3,Formononetin,MCE 中国站,HY-N0183,5 mg,299,页面核实,In-stock,FMN 支线前,标准,FXR 依赖性,HepG2 24h IC50 60.5 μM（PMID 24974349）
4,Formononetin 免费试用装,MCE 中国站,HY-N0183,10 mM×25 μL,0,试用装政策,需申请,FMN 支线前,最低,FXR 依赖性,与 2/6 竞争 3 个名额
5,ML385,MCE 中国站,HY-100523（勿用 HY-100622 旧记）,1 mg,300,页面核实,In-stock,Gate3 前（Gate2 过关才下单）,标准/扩展,Nrf2 阻断,1.955 μmol 足够；纯度 99.96%
6,ML385 免费试用装,MCE 中国站,HY-100523,10 mM×25 μL,0,试用装政策,需申请,Gate3 前,最低,Nrf2 阻断,—
7,Ferrostatin-1,GlpBio,下单按 CAS 347174-05-4 复核,5 mg,235,镜像页面($32),In-stock(快照),Gate2 前,最低/标准/扩展,铁死亡阳性对照,比 Selleck($147/5mg) 省≈¥800；EC50 60 nM
8,棕榈酸 PA,Sigma P0500 或国产,—,25 g,300,常规市价,常规,Gate1 前,全档,模型诱导,国产可降至约 ¥80
9,油酸 OA,Sigma O1008 或国产,—,25 mL,400,常规市价,常规,Gate1 前,全档,模型诱导,—
10,无脂肪酸 BSA,Solarbio/碧云天（Sigma A8806 备选）,—,25 g,450,常规市价,常规,Gate1 前,全档,FFA 载体偶联,Sigma 备选约 ¥900
11,CCK-8 试剂盒,Biosharp BA00208 / 碧云天 C0038,—,500 T,400,常规市价,常规,Gate1 前,全档,细胞活力,—
12,油红 O 染液,Solarbio G1262 或等效,—,100 mL,150,常规市价,常规,Gate1 前,全档,脂滴染色,—
13,TG（甘油三酯）试剂盒,普利莱 E1013 / Applygen,—,96 T,500,常规市价,常规,Gate1 前,全档,Gate1 主端点,微孔板法
14,GSH 试剂盒,碧云天 S0053,—,100 T,450,常规市价,常规,Gate2 前（Gate1 过关才下单）,全档,Gate2 读数,—
15,DCFH-DA（ROS 探针）,碧云天 S0033,—,500 T,400,常规市价,常规,Gate2 前（同上）,全档,Gate2 读数,—
16,96 孔板/枪头/离心管耗材,国产,—,20 板+耗材套装,400,常规市价,常规,全程,全档,通用,平台可部分抵扣
17,Guggulsterone (Z/E),Ambeed,下单按 CAS 复核,5 mg,441,快照,咨询,FMN 支线,扩展,FXR 药理学阻断,弱拮抗 IC50 24 μM；平台 siFXR 优先则不买
18,C11-BODIPY 581/591,Thermo,D3861,1 mg,1580,第五轮快照,—,Gate2（可选）,扩展,脂质过氧化,流式平台确认可用后才买
19,Biochanin A,平台存量优先，无则 MCE,下单按 CAS 491-80-5 复核,5-10 mg,250,常规市价,—,Gate1 同板,扩展（平台存量则 ¥0）,板级弱活性参照,非阳性对照；Fer-1 承担系统对照
20,Moracin N 续购保险,GlpBio/MCE,同序号 1,1 mg,520,快照,In-stock(快照),Gate2 过关后,扩展,余量保险,—
